time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-30T22:51:44.470Z,36.374,71.126,123.4,4.6,mb,29,,,0.82,us,usp000a6yr,2014-11-07T01:11:47.553Z,"50 km SW of Ashk?sham, Afghanistan",earthquake,,8.8,,7,reviewed,us,us
2000-12-30T19:42:52.710Z,24.317,122.974,55.6,5.1,mb,96,,,1,us,usp000a6yd,2014-11-07T01:11:47.523Z,"16 km S of Yonakuni, Japan",earthquake,,,,37,reviewed,us,us
2000-12-30T15:31:40.070Z,14.98,-60.625,70.2,4.8,mb,76,,,0.85,us,usp000a6y1,2014-11-07T01:11:47.495Z,"45 km ENE of Sainte-Marie, Martinique",earthquake,,2.8,,17,reviewed,us,us
2000-12-30T15:07:08.270Z,39.669,54.81,10,4.9,mb,149,,,1.04,us,usp000a6xz,2022-04-29T19:02:49.183Z,"41 km ENE of Balkanabat, Turkmenistan",earthquake,,,,66,reviewed,us,us
2000-12-30T11:47:19.920Z,51.525,159.333,47.9,4.8,mb,63,,,1.21,us,usp000a6xq,2014-11-07T01:11:47.457Z,"168 km SSE of Vilyuchinsk, Russia",earthquake,,,,20,reviewed,us,us
2000-12-30T10:44:13.350Z,-6.967,129.69,133.1,5.2,mwc,76,,,0.8,us,usp000a6xk,2016-11-10T00:19:27.134Z,"Banda Sea",earthquake,,3.8,,,reviewed,us,hrv
2000-12-30T09:43:28.230Z,21.862,122.994,33,4.6,mb,20,,,1.38,us,usp000a6xh,2014-11-07T01:11:47.441Z,"Taiwan region",earthquake,,,,11,reviewed,us,us
2000-12-30T07:42:46.700Z,-12.472,166.934,220.7,5.5,mwc,164,,,0.98,us,usp000a6xe,2022-04-29T19:02:48.007Z,"169 km NNW of Sola, Vanuatu",earthquake,,,,,reviewed,us,hrv
2000-12-29T23:33:53.070Z,-22.253,-179.672,584,5.4,mwc,162,,,0.8,us,usp000a6x2,2016-11-10T00:19:01.368Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,hrv
2000-12-29T18:03:31.130Z,24.386,121.858,33,4.9,mb,80,,,1.21,us,usp000a6wm,2014-11-07T01:11:47.337Z,"42 km SSE of Yilan, Taiwan",earthquake,,,,26,reviewed,us,us
2000-12-29T13:47:38.670Z,1.739,126.444,33,5.1,mwc,48,,,0.98,us,usp000a6w5,2022-04-29T19:02:46.840Z,"148 km NW of Ternate, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-29T12:11:00.900Z,1.404,127.049,33,4.7,mb,19,,,1.09,us,usp000a6w1,2014-11-07T01:11:47.295Z,"77 km NNW of Ternate, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-29T10:44:12.300Z,-16.625,-172.701,33,4.6,mb,18,,,1.09,us,usp000a6vx,2014-11-07T01:11:47.287Z,"138 km ESE of Hihifo, Tonga",earthquake,,,,6,reviewed,us,us
